timestamp_ms,temperature_c,humidity_percent,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
276151,2.50,20.90,-0.03,-0.02,1.06,-0.02,1.36,1.48
277151,2.50,20.90,-0.04,-0.02,1.07,-0.11,1.45,1.60
278151,2.50,20.90,-0.03,-0.02,1.06,0.00,1.37,1.48
279151,2.50,20.90,-0.03,-0.00,1.07,0.00,1.40,1.53
280151,2.50,20.90,-0.04,-0.03,1.07,0.06,1.50,1.56
281151,2.50,20.90,-0.04,-0.02,1.08,-0.06,0.84,1.54
282151,2.50,20.80,-0.04,-0.02,1.07,-0.02,1.51,1.48
283151,2.50,20.80,-0.04,-0.02,1.07,-0.05,2.32,1.80
284151,2.50,20.80,-0.04,-0.02,1.07,-0.12,1.19,1.47
285151,2.50,20.80,-0.03,-0.03,1.06,-0.08,1.34,1.62
286151,2.50,20.80,-0.04,-0.01,1.07,-0.05,1.24,1.33
287151,2.50,20.80,-0.04,-0.03,1.07,-0.11,1.28,1.59
288151,2.50,20.70,-0.03,-0.03,1.07,-0.06,1.37,1.51
289151,2.50,20.70,-0.03,-0.02,1.07,0.00,1.51,1.59
290151,2.50,20.70,-0.03,-0.03,1.07,0.05,1.45,1.56
291151,2.50,20.70,-0.04,-0.02,1.07,0.02,1.27,1.57
292151,2.50,20.60,-0.04,-0.03,1.07,-0.12,1.36,1.57
293151,2.50,20.60,-0.04,-0.02,1.07,-0.03,1.45,1.60
294151,2.50,20.60,-0.03,-0.02,1.06,0.00,1.51,1.53
295151,2.50,20.60,-0.04,-0.03,1.07,-0.06,1.42,1.66
296151,2.50,20.60,-0.04,-0.02,1.07,-0.03,1.28,1.56
297151,2.50,20.60,-0.03,-0.03,1.07,-0.08,1.31,1.62
298151,2.50,20.60,-0.04,-0.03,1.07,-0.02,1.42,1.59
299151,2.50,20.60,-0.04,-0.03,1.06,-0.06,1.34,1.44
300151,2.50,20.60,-0.04,-0.02,1.07,-0.02,1.21,1.53
301151,2.50,20.60,-0.04,-0.02,1.06,0.08,1.47,1.66
302151,2.50,20.60,-0.04,-0.02,1.07,-0.08,1.34,1.57
303151,2.50,20.60,-0.04,-0.01,1.07,-0.11,1.82,1.69
304151,2.40,20.60,-0.04,-0.03,1.07,0.05,1.27,1.60
305151,2.40,20.60,-0.04,-0.03,1.07,-0.08,1.36,1.50
306151,2.40,20.70,-0.04,-0.02,1.06,0.00,1.42,1.51
307151,2.40,20.70,-0.03,-0.02,1.07,-0.06,1.24,1.53
