timestamp_ms,temperature_c,humidity_percent,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_mag_g,gyro_mag_dps,accel_mag_mean,accel_mag_std,accel_mag_rms,accel_mag_max,accel_mag_min,gyro_mag_mean,gyro_mag_std,gyro_mag_rms,gyro_mag_max,gyro_mag_min,accel_z_std,gyro_z_std,temp_change_rate,humidity_change_rate
351151,2.5,20.7,-0.04,-0.01,1.07,-0.02,2.18,1.59,1.0707940978544848,2.69831428858834,1.0688885531180277,0.0046450260022629876,1.0688966273686151,1.0714942836991712,1.0606130302801302,2.0933787537445094,0.34056092217671663,2.115424307319929,2.69831428858834,1.8986574203894708,0.004472135954999583,0.05272570530585612,0.0,0.0
352151,2.5,20.8,-0.05,-0.02,1.04,0.12,1.65,1.39,1.0413932974625868,2.16078689370331,1.0629336951582098,0.01284327145404262,1.062995766689595,1.0714942836991712,1.0413932974625868,2.127852841410477,0.3359729998477529,2.1489671937933346,2.69831428858834,1.8986574203894708,0.013038404810405321,0.09230384607371468,0.0,0.10000000000000142
353151,2.5,20.8,-0.03,-0.03,1.07,0.03,1.16,1.48,1.0708407911543154,1.8806647760831805,1.0628029966492387,0.01273726390352002,1.0628640552770614,1.0708407911543154,1.0413932974625868,2.122845402546402,0.340270842285239,2.1445512351072424,2.69831428858834,1.8806647760831805,0.013038404810405321,0.07328028384224532,0.0,0.0
354151,2.5,20.9,-0.03,-0.02,1.07,-0.11,1.16,1.56,1.07060730429042,1.9471260873400058,1.0648018514512967,0.013087071191193619,1.0648661887767872,1.0708407911543154,1.0413932974625868,2.1171098932208614,0.34359441938561874,2.1392989505910576,2.69831428858834,1.8806647760831805,0.013416407864998767,0.07765307463326895,0.0,0.09999999999999787
355151,2.5,20.9,-0.02,-0.02,1.07,0.08,1.37,1.63,1.0703737664946764,2.130774507074834,1.0648018514512967,0.013087071191193619,1.0648661887767872,1.0708407911543154,1.0413932974625868,2.163533310557934,0.3216823240913038,2.182581040877978,2.69831428858834,1.8806647760831805,0.013416407864998767,0.09565563234854503,0.0,0.0
356151,2.5,20.9,-0.04,-0.03,1.07,-0.02,1.07,1.51,1.071167587261676,1.8507836178224617,1.0648765493327348,0.013130816863746982,1.0649413129370089,1.071167587261676,1.0413932974625868,1.9940271764047584,0.14324637761243147,1.9981391342947066,2.16078689370331,1.8507836178224617,0.013416407864998767,0.08961026726887954,0.0,0.0
357151,2.5,20.9,-0.04,-0.02,1.07,-0.05,1.37,1.51,1.0709341716464182,2.039485229169361,1.0707847241695012,0.00030513367008597485,1.0707847589501824,1.071167587261676,1.0703737664946764,1.9697668434979683,0.1155345308557667,1.9724756018769916,2.130774507074834,1.8507836178224617,0.0,0.05890670590009257,0.0,0.0
358151,2.4,20.9,-0.04,-0.02,1.06,-0.03,1.51,1.57,1.0609429767899876,2.17850866420127,1.0688051612966358,0.004405562630462722,1.0688124250774782,1.071167587261676,1.0609429767899876,2.0293356211215867,0.1334959589606817,2.0328452966224457,2.17850866420127,1.8507836178224617,0.0044721359549996335,0.04979959839195484,-0.10000000000000009,0.0
359151,2.4,20.9,-0.04,-0.02,1.07,0.02,1.33,1.66,1.0709341716464182,2.127181233463665,1.0688705347678353,0.004441270246491142,1.0688779163215976,1.071167587261676,1.0609429767899876,2.065346650346318,0.13001545053975036,2.0686178960842434,2.17850866420127,1.8507836178224617,0.0044721359549996335,0.06841052550594807,0.0,0.0
360151,2.4,20.9,-0.03,-0.02,1.07,-0.05,1.45,1.57,1.07060730429042,2.1377324435017586,1.068917242326984,0.004462210225299207,1.0689246933250258,1.071167587261676,1.0609429767899876,2.0667382376317027,0.13092486925237684,2.070053139414542,2.17850866420127,1.8507836178224617,0.0044721359549996335,0.06148170459575747,0.0,0.0
